iter	Passed	Remaining
1135	2083	11671
1136	2085	11669
1137	2086	11665
1138	2088	11661
1139	2089	11657
1140	2091	11654
1141	2092	11650
1142	2094	11646
1143	2095	11642
1144	2097	11642
1145	2099	11639
1146	2100	11635
1147	2102	11632
1148	2103	11629
1149	2105	11625
1150	2107	11622
1151	2108	11619
1152	2110	11615
1153	2111	11612
1154	2113	11610
1155	2115	11607
1156	2116	11604
1157	2118	11600
1158	2119	11597
1159	2121	11593
1160	2122	11589
1161	2124	11586
1162	2125	11582
1163	2127	11579
1164	2128	11575
1165	2130	11572
1166	2131	11568
1167	2133	11564
1168	2134	11561
1169	2136	11557
1170	2137	11553
1171	2139	11550
1172	2140	11546
1173	2142	11544
1174	2143	11540
1175	2145	11537
1176	2146	11533
1177	2148	11531
1178	2150	11529
1179	2151	11525
1180	2153	11522
1181	2155	11519
1182	2156	11515
1183	2158	11516
1184	2160	11516
1185	2162	11512
1186	2164	11510
1187	2166	11508
1188	2167	11505
1189	2169	11502
1190	2170	11498
1191	2172	11497
1192	2174	11496
1193	2176	11494
1194	2177	11491
1195	2179	11487
1196	2180	11484
1197	2182	11481
1198	2184	11478
1199	2185	11476
1200	2187	11475
1201	2189	11473
1202	2191	11470
1203	2192	11466
1204	2194	11464
1205	2196	11460
1206	2197	11457
1207	2199	11454
1208	2200	11450
1209	2202	11447
1210	2203	11443
1211	2205	11441
1212	2206	11437
1213	2208	11433
1214	2209	11430
1215	2211	11428
1216	2212	11424
1217	2214	11421
1218	2215	11417
1219	2217	11415
1220	2219	11412
1221	2221	11410
1222	2222	11408
1223	2224	11406
1224	2226	11404
1225	2228	11402
1226	2229	11399
1227	2231	11397
1228	2233	11394
1229	2235	11393
1230	2236	11390
1231	2238	11387
1232	2240	11385
1233	2242	11385
1234	2243	11382
1235	2245	11380
1236	2247	11377
1237	2248	11375
1238	2250	11372
1239	2252	11369
1240	2253	11366
1241	2255	11364
1242	2257	11361
1243	2258	11359
1244	2260	11356
1245	2261	11353
1246	2263	11352
1247	2265	11350
1248	2267	11349
1249	2269	11348
1250	2271	11346
1251	2273	11343
1252	2275	11343
1253	2276	11340
1254	2278	11338
1255	2280	11335
1256	2281	11333
1257	2283	11331
1258	2285	11328
1259	2287	11326
1260	2288	11324
1261	2290	11322
1262	2292	11321
1263	2294	11319
1264	2296	11316
1265	2297	11314
1266	2299	11311
1267	2300	11308
1268	2302	11306
1269	2304	11306
1270	2306	11304
1271	2308	11301
1272	2309	11299
1273	2311	11296
1274	2313	11294
1275	2315	11294
1276	2317	11291
1277	2318	11289
1278	2320	11287
1279	2322	11286
1280	2324	11283
1281	2326	11281
1282	2327	11279
1283	2329	11278
1284	2331	11276
1285	2333	11274
1286	2335	11272
1287	2336	11270
1288	2338	11268
1289	2340	11267
1290	2342	11264
1291	2344	11263
1292	2346	11261
1293	2347	11260
1294	2350	11260
1295	2352	11259
1296	2353	11256
1297	2355	11255
1298	2357	11252
1299	2358	11249
1300	2360	11246
1301	2362	11244
1302	2363	11242
1303	2366	11242
1304	2368	11241
1305	2370	11240
1306	2372	11239
1307	2373	11237
1308	2375	11235
1309	2377	11233
1310	2379	11231
1311	2381	11230
1312	2382	11228
1313	2384	11226
1314	2386	11224
1315	2388	11222
1316	2389	11220
1317	2391	11217
1318	2393	11215
1319	2395	11213
1320	2397	11212
1321	2399	11211
1322	2401	11210
1323	2402	11208
1324	2404	11206
1325	2406	11203
1326	2408	11202
1327	2410	11203
1328	2412	11201
1329	2414	11201
1330	2416	11198
1331	2417	11196
1332	2419	11194
1333	2421	11191
1334	2422	11188
1335	2424	11186
1336	2426	11185
1337	2428	11184
1338	2430	11182
1339	2432	11180
1340	2433	11178
1341	2435	11176
1342	2437	11174
1343	2439	11173
1344	2441	11172
1345	2443	11170
1346	2444	11167
1347	2446	11167
1348	2448	11165
1349	2450	11163
1350	2452	11161
1351	2454	11159
1352	2455	11158
1353	2457	11156
1354	2459	11154
1355	2461	11151
1356	2462	11149
1357	2464	11147
1358	2466	11145
1359	2468	11143
1360	2470	11142
1361	2471	11140
1362	2473	11138
1363	2475	11136
1364	2477	11133
1365	2478	11131
1366	2480	11128
1367	2482	11126
1368	2484	11125
1369	2485	11123
1370	2487	11121
1371	2489	11119
1372	2491	11116
1373	2493	11115
1374	2494	11113
1375	2496	11110
1376	2498	11109
1377	2500	11107
1378	2501	11104
1379	2503	11102
1380	2505	11100
1381	2506	11098
1382	2508	11095
1383	2510	11093
1384	2512	11092
1385	2514	11090
1386	2515	11088
1387	2517	11087
1388	2519	11084
1389	2521	11082
1390	2523	11080
1391	2524	11078
1392	2526	11077
1393	2528	11077
1394	2530	11075
1395	2532	11073
1396	2534	11071
1397	2535	11069
1398	2537	11067
1399	2539	11065
1400	2541	11064
1401	2543	11062
1402	2545	11060
1403	2547	11058
1404	2548	11056
1405	2550	11054
1406	2552	11053
1407	2554	11051
1408	2555	11049
1409	2557	11048
1410	2559	11046
1411	2561	11044
1412	2563	11042
1413	2565	11040
1414	2566	11037
1415	2568	11036
1416	2570	11034
1417	2572	11033
1418	2574	11031
1419	2576	11030
1420	2578	11028
1421	2579	11025
1422	2581	11023
1423	2583	11021
1424	2584	11020
1425	2586	11019
1426	2588	11017
1427	2590	11016
1428	2592	11016
1429	2594	11014
1430	2596	11012
1431	2598	11010
1432	2600	11009
1433	2602	11008
1434	2604	11006
1435	2605	11004
1436	2607	11003
1437	2609	11001
1438	2612	11002
1439	2614	11002
1440	2616	11000
1441	2618	10999
1442	2620	10999
1443	2623	11000
1444	2624	10999
1445	2626	10998
1446	2628	10997
1447	2631	10997
1448	2633	10995
1449	2634	10994
1450	2636	10992
1451	2638	10990
1452	2640	10988
1453	2642	10988
1454	2644	10986
1455	2646	10986
1456	2648	10984
1457	2650	10983
1458	2652	10981
1459	2654	10979
1460	2655	10978
1461	2657	10976
1462	2659	10975
1463	2661	10972
1464	2663	10970
1465	2665	10970
1466	2667	10968
1467	2669	10966
1468	2671	10966
1469	2672	10963
1470	2674	10961
1471	2676	10960
1472	2678	10958
1473	2680	10956
1474	2681	10954
1475	2683	10952
1476	2685	10949
1477	2687	10948
1478	2689	10947
1479	2690	10945
1480	2692	10942
1481	2694	10941
1482	2695	10938
1483	2697	10935
1484	2699	10933
1485	2700	10931
1486	2702	10928
1487	2704	10927
1488	2706	10925
1489	2708	10923
1490	2710	10922
1491	2711	10919
1492	2713	10916
1493	2714	10913
1494	2716	10912
1495	2718	10910
1496	2720	10907
1497	2721	10905
1498	2723	10902
1499	2724	10899
1500	2726	10896
1501	2728	10895
1502	2730	10893
1503	2731	10891
1504	2734	10892
1505	2736	10891
1506	2738	10888
1507	2739	10886
1508	2741	10884
1509	2743	10882
1510	2744	10879
1511	2746	10877
1512	2748	10877
1513	2751	10877
1514	2752	10875
1515	2754	10874
1516	2756	10872
1517	2758	10870
1518	2760	10868
1519	2762	10868
1520	2764	10867
1521	2766	10866
1522	2768	10864
1523	2770	10862
1524	2771	10859
1525	2773	10857
1526	2775	10855
1527	2777	10854
1528	2779	10852
1529	2781	10851
1530	2782	10849
1531	2784	10847
1532	2786	10844
1533	2787	10842
1534	2789	10839
1535	2791	10837
1536	2792	10835
1537	2794	10833
1538	2796	10831
1539	2798	10829
1540	2799	10827
1541	2801	10824
1542	2803	10822
1543	2805	10820
1544	2806	10818
1545	2808	10817
1546	2810	10815
1547	2812	10812
1548	2813	10810
1549	2815	10808
1550	2817	10806
1551	2819	10804
1552	2820	10802
1553	2822	10800
1554	2824	10797
1555	2826	10796
1556	2827	10794
1557	2829	10791
1558	2831	10789
1559	2833	10788
1560	2834	10785
1561	2836	10783
1562	2838	10781
1563	2839	10778
1564	2841	10776
1565	2843	10774
1566	2845	10772
1567	2846	10769
1568	2848	10767
1569	2850	10765
1570	2851	10762
1571	2853	10761
1572	2855	10759
1573	2857	10756
1574	2858	10754
1575	2860	10753
1576	2862	10751
1577	2864	10749
1578	2866	10748
1579	2868	10746
1580	2870	10745
1581	2872	10745
1582	2874	10743
1583	2876	10742
1584	2878	10741
1585	2880	10740
1586	2882	10738
1587	2884	10737
1588	2886	10737
1589	2888	10735
1590	2890	10735
1591	2892	10734
1592	2894	10734
1593	2896	10732
1594	2898	10730
1595	2900	10729
1596	2902	10728
1597	2904	10726
1598	2906	10725
1599	2908	10724
1600	2909	10721
1601	2911	10719
1602	2913	10717
1603	2914	10714
1604	2916	10712
1605	2918	10710
1606	2920	10709
1607	2921	10706
1608	2923	10704
1609	2925	10701
1610	2926	10698
1611	2928	10696
1612	2930	10694
1613	2931	10691
1614	2933	10690
1615	2935	10689
1616	2937	10687
1617	2939	10685
1618	2941	10683
1619	2942	10681
1620	2944	10678
1621	2946	10676
1622	2947	10674
1623	2949	10671
1624	2951	10670
1625	2953	10668
1626	2955	10667
1627	2957	10666
1628	2959	10664
1629	2960	10662
1630	2962	10659
1631	2964	10657
1632	2965	10655
1633	2967	10654
1634	2969	10652
1635	2971	10650
1636	2972	10647
1637	2974	10645
1638	2976	10642
1639	2977	10640
1640	2979	10638
1641	2981	10636
1642	2983	10634
1643	2984	10632
1644	2986	10629
1645	2988	10627
1646	2990	10625
1647	2991	10623
1648	2993	10621
1649	2995	10618
1650	2996	10616
1651	2998	10614
1652	3000	10612
1653	3001	10609
1654	3003	10608
1655	3005	10605
1656	3006	10603
1657	3008	10601
1658	3010	10599
1659	3012	10597
1660	3014	10596
1661	3015	10593
1662	3017	10591
1663	3019	10589
1664	3021	10587
1665	3022	10585
1666	3024	10584
1667	3027	10583
1668	3029	10582
1669	3030	10580
1670	3032	10578
1671	3034	10576
1672	3035	10573
1673	3037	10571
1674	3039	10570
1675	3041	10568
1676	3043	10567
1677	3045	10565
1678	3046	10562
1679	3048	10560
1680	3050	10558
1681	3051	10556
1682	3053	10554
1683	3055	10553
1684	3057	10551
1685	3059	10549
1686	3060	10547
1687	3062	10544
1688	3064	10543
1689	3066	10541
1690	3067	10539
1691	3069	10535
1692	3070	10533
1693	3072	10530
1694	3074	10528
1695	3075	10525
1696	3077	10523
1697	3079	10521
1698	3080	10518
1699	3082	10517
1700	3084	10515
1701	3086	10512
1702	3087	10510
1703	3089	10508
1704	3091	10507
1705	3093	10505
1706	3094	10502
1707	3096	10500
1708	3098	10499
1709	3100	10497
1710	3101	10494
1711	3103	10492
1712	3105	10490
1713	3107	10489
1714	3109	10487
1715	3110	10485
1716	3112	10482
1717	3114	10480
1718	3115	10477
1719	3117	10475
